scenario_id,frequency_Hz,resistance_ohm,reactance_ohm,weight,parent_scenario_id,argon_pressure_mTorr,reported_rf_power_W,resistance_bound,reactance_bound,resistance_offset_ohm,reactance_offset_ohm,reference_plane,source_doi,evidence_class
colpo_p0010_w1000__rlo_xlo,13560000,165.5,326.3,1,colpo_p0010_w1000,10,1000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w1000__rlo_xhi,13560000,165.5,340.3,1,colpo_p0010_w1000,10,1000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w1000__rhi_xlo,13560000,177.5,326.3,1,colpo_p0010_w1000,10,1000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w1000__rhi_xhi,13560000,177.5,340.3,1,colpo_p0010_w1000,10,1000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w2000__rlo_xlo,13560000,93.0,250.9,1,colpo_p0010_w2000,10,2000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w2000__rlo_xhi,13560000,93.0,264.9,1,colpo_p0010_w2000,10,2000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w2000__rhi_xlo,13560000,105.0,250.9,1,colpo_p0010_w2000,10,2000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w2000__rhi_xhi,13560000,105.0,264.9,1,colpo_p0010_w2000,10,2000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w3000__rlo_xlo,13560000,70.0,223.8,1,colpo_p0010_w3000,10,3000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w3000__rlo_xhi,13560000,70.0,237.8,1,colpo_p0010_w3000,10,3000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w3000__rhi_xlo,13560000,82.0,223.8,1,colpo_p0010_w3000,10,3000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w3000__rhi_xhi,13560000,82.0,237.8,1,colpo_p0010_w3000,10,3000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w4000__rlo_xlo,13560000,57.3,211.2,1,colpo_p0010_w4000,10,4000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0010_w4000__rlo_xhi,13560000,57.3,225.2,1,colpo_p0010_w4000,10,4000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
