time_s,Rp_ohm,Lp_H,Csh_F
0.0,25.0,2.2e-07,2.1917702154416815e-10
1e-08,28.76299410176569,2.1316958641116817e-07,2.39046376150385e-10
2e-08,29.955707598791953,1.973438006241226e-07,2.3224544093137908e-10
3.0000000000000004e-08,27.76346784331166,1.8333230886824095e-07,2.0341953592081674e-10
4e-08,23.6836652569058,1.8070553951244114e-07,1.7225794644814988e-10
5e-08,20.502973742168145,1.9125768466698135e-07,1.6004532693174866e-10
6.000000000000001e-08,20.393937153513303,2.0778119276637186e-07,1.7512340160161906e-10
7e-08,23.43103199062406,2.1898982438488778e-07,2.0719322184591072e-10
8e-08,27.539796868903196,2.17227620550597e-07,2.343497740658233e-10
9e-08,29.913775442559448,2.0369823936510264e-07,2.3804400993048577e-10
1e-07,28.931442160683098,1.876428077381933e-07,2.1575261355486408e-10
1.1e-07,25.26377128300313,1.8002784950576913e-07,1.8270153061076632e-10
1.2000000000000002e-07,21.41593370974635,1.860546960867438e-07,1.614660177048899e-10
1.3e-07,20.01616164571182,2.0160676200266789e-07,1.6655080842904588e-10
1.4e-07,22.020557303644395,2.1606134301688784e-07,1.9448278041737015e-10
1.5e-07,26.060035549610266,2.1954536247136387e-07,2.261832415666708e-10
1.6e-07,29.375465673305865,2.0967909098353523e-07,2.399994658163061e-10
1.7000000000000001e-07,29.702271777759915,1.9320160003755873e-07,2.2649440058017036e-10
1.8e-07,26.817231777294808,1.8136769744015948e-07,1.9489256396895976e-10
1.9e-07,22.69094731426056,1.8226042810235624e-07,1.667793174047998e-10
2e-07,20.141841335426633,1.9527002005952547e-07,1.613571710234922e-10
2.1e-07,20.911058652512992,2.1151038394272658e-07,1.8232967505738876e-10
2.2e-07,24.473192023980513,2.1988867953642058e-07,2.15371741851994e-10
2.3e-07,28.395157031258858,2.146821844331658e-07,2.3791427320361163e-10
2.4000000000000003e-07,29.99808936628439,1.994471501233079e-07,2.345597878651663e-10
2.5e-07,28.187119948743465,1.8458973514448427e-07,2.0759953806058353e-10
2.6e-07,24.199215790489095,1.8025816841332172e-07,1.7544848945221512e-10
2.7e-07,20.75828036687126,1.8941108915596683e-07,1.6006713797104055e-10
2.8e-07,20.214614885467142,2.0579667395061317e-07,1.7196158283422097e-10
2.9000000000000003e-07,22.9395653554729,2.1822289069303e-07,2.030074262592487e-10
3e-07,27.07187790496641,2.1820211941369994e-07,2.3199907316541806e-10
